Year,Manufacturer,Model,Vehicle Class,Fuel,Consumption,CO2 (mg/mile)
2012,Nissan,LEAF,Mid-size,Electric,19.3,0
2013,Ford,Focus Electric,Compact,Electric,19.0,0
2013,Tesla,Model S (40 kWh),Full-size,Electric,22.4,0
2013,Tesla,Model S (60 kWh),Full-size,Electric,22.2,0
2013,Tesla,Model S (85 kWh),Full-size,Electric,23.8,0
2013,Tesla,Model S Performance,Full-size,Electric,23.9,0
2015,Tesla,Model S (70 kWh),Full-size,Electric,23.8,0
2015,Tesla,Model S (85/90 kWh),Full-size,Electric,23.8,0
2015,Tesla,Model S 70D,Full-size,Electric,20.8,0
2015,Tesla,Model S 85D/90D,Full-size,Electric,22.0,0
2015,Tesla,Model S P85D/P90D,Full-size,Electric,23.4,0
2016,Nissan,LEAF (24 kWh),Mid-size,Electric,16.5,0
2016,Nissan,LEAF (30 kWh),Mid-size,Electric,17.0,0
2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,Electric,22.2,0
2016,Tesla,Model S (75 kWh),Full-size,Electric,21.5,0
2016,Tesla,Model S 60D,Full-size,Electric,20.6,0
2016,Tesla,Model S 75D,Full-size,Electric,20.6,0
2016,Tesla,Model S 90D (Refresh),Full-size,Electric,20.8,0
2016,Tesla,Model S P90D (Refresh),Full-size,Electric,22.9,0
2016,Tesla,Model S P100D,Full-size,Electric,22.6,0
2016,Tesla ,Model X 60D,SUV: Standard,Electric,23.0,0
2016,Tesla,Model X 75D,SUV: Standard,Electric,23.0,0
2016,Tesla,Model X 90D,SUV: Standard,Electric,23.2,0
2016,Tesla,Model X P90D,SUV: Standard,Electric,23.6,0
2016,Tesla,Model X P100D,SUV: Standard,Electric,25.7,0
2017,Hyundai,IONIQ Electric,Mid-size,Electric,13.7,0
2017,Tesla,Model S 90D,Full-size,Electric,20.6,0
2017,Tesla,Model S 100D,Full-size,Electric,20.7,0
2017,Tesla,Model S P90D,Full-size,Electric,22.8,0
2017,Tesla ,Model X 100D,SUV: Standard,Electric,24.3,0
2017,Volkswagen,e-Golf,Compact,Electric,16.8,0
2018,Tesla,Model 3 Mid Range,Mid-size,Electric,16.4,0
2018,Tesla,Model 3 Long Range,Mid-size,Electric,15.3,0
2018,Tesla,Model 3 Long Range AWD,Mid-size,Electric,17.4,0
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,Electric,17.4,0
2019,Audi,e-tron 55 quattro,SUV: Standard,Electric,28.0,0
