Year,Manufacturer,Model,Vehicle Class,Fuel,Consumption,CO2 (mg/mile)
2023,Acura,Integra,Full-size,Gasoline,2.09,103.77
2023,Acura,Integra A-SPEC,Full-size,Gasoline,2.14,106.88
2023,Acura,MDX SH-AWD,SUV: Small,Gasoline,3.33,163.42
2023,Acura,MDX SH-AWD Type S,SUV: Standard,Gasoline,3.65,180.82
2023,Acura,RDX SH-AWD,SUV: Small,Gasoline,2.91,144.16
2023,Acura,RDX SH-AWD A-SPEC,SUV: Small,Gasoline,2.99,150.37
2023,Acura,TLX SH-AWD,Compact,Gasoline,2.96,142.92
2023,Acura,TLX SH-AWD A-SPEC,Compact,Gasoline,2.99,143.54
2023,Acura,TLX Type S,Compact,Gasoline,3.25,159.07
2023,Alfa Romeo,Giulia,Mid-size,Gasoline,2.64,127.38
2023,Alfa Romeo,Giulia AWD,Mid-size,Gasoline,2.77,134.84
2023,Alfa Romeo,Giulia Quadrifoglio,Mid-size,Gasoline,3.57,168.39
2023,Alfa Romeo,Stelvio,SUV: Small,Gasoline,2.72,135.46
2023,Alfa Romeo,Stelvio AWD,SUV: Small,Gasoline,2.85,140.43
2023,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,Gasoline,3.67,178.95
2023,Alfa Romeo,Tonale AWD,SUV: Small,Gasoline,2.96,143.54
2023,Aston Martin,DBX V8,SUV: Standard,Gasoline,4.44,213.13
2023,Aston Martin,DBX707,SUV: Standard,Gasoline,4.15,204.43
2023,Audi,A4 Sedan 45 TFSI quattro,Compact,Gasoline,2.56,126.14
2023,Audi,A5 Sportback 45 TFSI quattro,Mid-size,Gasoline,2.56,126.14
2023,Audi,A6 45 TFSI quattro,Mid-size,Gasoline,2.64,128.62
2023,Audi,A6 55 TFSI quattro,Mid-size,Gasoline,2.93,139.19
2023,Audi,A7 Sportback 55 TFSI quattro,Mid-size,Gasoline,2.93,139.19
2023,Audi,A8 L Sedan 55 TFSI quattro,Full-size,Gasoline,3.3,153.48
2023,Audi,Q3 40 TFSI quattro,SUV: Small,Gasoline,2.88,139.19
2023,Audi,Q3 45 TFSI quattro,SUV: Small,Gasoline,2.96,144.78
2023,Audi,Q5 40 TFSI quattro,SUV: Small,Gasoline,2.69,134.84
2023,Audi,Q5 45 TFSI quattro,SUV: Small,Gasoline,2.8,138.57
2023,Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,Gasoline,2.8,138.57
2023,Audi,Q7 45 TFSI quattro,SUV: Standard,Gasoline,3.22,159.69
2023,Audi,Q7 55 TFSI quattro,SUV: Standard,Gasoline,3.41,174.61
2023,Audi,Q8 55 TFSI quattro,SUV: Standard,Gasoline,3.38,169.63
2023,Audi,RS 5 Sportback quattro,Mid-size,Gasoline,3.49,165.91
2023,Audi,RS 7 Sportback quattro,Mid-size,Gasoline,4.33,203.81
2023,Audi,RS Q8 quattro,SUV: Standard,Gasoline,4.62,216.86
2023,Audi,S4 Sedan quattro,Compact,Gasoline,2.93,140.43
2023,Audi,S5 Sportback quattro,Mid-size,Gasoline,2.93,140.43
2023,Audi,S6 quattro,Mid-size,Gasoline,3.25,157.83
2023,Audi,S7 quattro,Mid-size,Gasoline,3.25,157.83
2023,Audi,S8 Sedan quattro,Full-size,Gasoline,4.2,194.49
2023,Audi,SQ5 quattro,SUV: Small,Gasoline,3.3,162.8
2023,Audi,SQ5 Sportback quattro,SUV: Small,Gasoline,3.3,162.8
2023,Audi,SQ7 quattro,SUV: Standard,Gasoline,4.25,201.95
2023,Audi,SQ8 quattro,SUV: Standard,Gasoline,4.25,201.95
2023,Bentley,Bentayga,SUV: Standard,Gasoline,4.28,203.81
2023,Bentley,Bentayga EWB,SUV: Standard,Gasoline,4.28,203.81
2023,Bentley,Bentayga Speed,SUV: Standard,Gasoline,5.1,237.99
