Year,Manufacturer,Model,Fuel,Alternative Fuel,Miles per gallon,CO2 Emission (g/mi),Sound Emission (dB),Price (USD),Range (mi),Category
2023,Toyota,Camry,Gasoline,No,28,229,74,25075,418,Sedan
2023,Honda,Accord,Gasoline,No,27,227,75,24795,402,Sedan
2023,Nissan,Altima,Gasoline,No,27,226,74,23725,390,Sedan
2023,Toyota,Corolla,Gasoline,No,28,228,73,20075,320,Sedan
2023,Honda,Civic,Gasoline,No,28,227,72,21700,310,Sedan
2023,Hyundai,Elantra,Gasoline,No,29,226,73,21150,370,Sedan
2023,Kia,Forte,Gasoline,No,29,226,74,20409,360,Sedan
2023,Chevrolet,Cruze,Gasoline,No,28,226,73,19895,340,Sedan
2023,Nissan,Sentra,Gasoline,No,27,225,75,20780,320,Sedan
2023,Toyota,Prius,Gasoline,Electric,54,41,68,24525,520,Sedan
2023,Hyundai,Ioniq Hybrid,Gasoline,Electric,52,42,68,23575,525,Sedan
2023,Kia,Niro Hybrid,Gasoline,Electric,52,42,69,23290,503,SUV
2022,Toyota,Corolla Hybrid,Gasoline,Electric,52,41,72,23075,520,Sedan
2022,Honda,Insight,Gasoline,Electric,51,41,69,23220,500,Sedan
2022,Hyundai,Elantra Hybrid,Gasoline,Electric,52,42,70,22250,525,Sedan
2022,Kia,Forte Hybrid,Gasoline,Electric,52,42,71,22090,520,Sedan
2022,Chevrolet,Malibu Hybrid,Gasoline,Electric,50,41,70,24995,480,Sedan
2022,Nissan,Sentra Hybrid,Gasoline,Electric,51,41,72,24280,510,Sedan
2023,Mercedes-Benz,Sprinter,Diesel,B20,22,34,78,35900,620,Minivan
2023,Freightliner,Sprinter,Diesel,B20,22,34,78,35900,620,Minivan
2023,Ram,ProMaster City,Diesel,B20,24,32,79,27995,400,Minivan
2023,Fiat,Ducato,Diesel,B20,24,32,79,33695,420,Minivan
2023,Chrysler,Pacifica,Diesel,B20,22,34,72,36995,520,Minivan
2023,Dodge,Grand Caravan,Diesel,B20,22,34,73,32995,520,Minivan
2023,Toyota,Sienna,Gasoline,B20,22,34,69,35275,500,Minivan
2023,Honda,Odyssey,Diesel,B20,22,34,70,32990,470,Minivan
2023,Toyota,Sienna,Diesel,CNG,23,28,72,35275,500,Minivan
2023,Honda,Odyssey,Diesel,CNG,23,28,73,32990,470,Minivan
2023,Chrysler,Pacifica,Diesel,CNG,23,28,70,36995,520,Minivan
2023,Dodge,Grand Caravan,Diesel,CNG,23,28,69,32995,520,Minivan
2023,Ram,ProMaster City,Diesel,CNG,26,25,77,27995,400,Minivan
2023,Fiat,Ducato,Diesel,CNG,26,25,75,33695,420,Minivan
2023,Mercedes-Benz,Sprinter,Diesel,CNG,25,26,73,35900,620,Minivan
2023,Freightliner,Sprinter,Diesel,CNG,25,26,70,35900,620,Minivan
2023,Tesla,Model 3,Electric,No,48,0,65,46990,358,Sedan
2023,Tesla,Model Y,Electric,No,40,0,65,51990,330,SUV
2023,Ford,F-150 Lightning,Electric,No,23,0,67,39974,230,Pick-up
2023,Chevrolet,Bolt EV,Electric,No,120,0,67,31000,259,Sedán
2023,Chevrolet,Bolt EUV,Electric,No,115,0,68,33000,247,SUV
2023,Hyundai,Ioniq 5,Electric,No,120,0,67,40950,303,SUV
2023,Kia,EV6,Electric,No,114,0,68,40990,239,SUV
2023,Volkswagen,ID.4,Electric,No,104,0,67,41190,250,SUV
2023,Nissan,Ariya,Electric,No,101,0,68,45285,303,SUV
2022,Nissan,SV200 NYC Taxi,Gasoline,No,24,256,72,22500,105,Sedan
2022,Chrysler,Pacifica Hybrid,Gasoline,Electric,17,30,70,46995,530,Minivan
2022,Toyota,Sienna Hybrid,Gasoline,Electric,22,26,70,40745,360,Minivan
2022,Honda,Odyssey Hybrid,Gasoline,Electric,20,27,70,39470,350,Minivan
2022,Kia,Carnival Hybrid,Gasoline,Electric,22,26,70,44490,336,Minivan
2022,Chrysler,Voyager,Gasoline,No,24,256,75,26995,530,Minivan
2022,Toyota,Highlander Hybrid,Gasoline,Electric,22,26,72,40745,360,SUV
2022,Honda,Pilot Hybrid,Gasoline,Electric,20,27,69,39470,350,SUV
2022,Kia,Telluride Hybrid,Gasoline,Electric,22,26,68,44490,336,SUV
2023,Toyota,Prius,Gasoline,Electric,52,41,65,25295,54,Sedan
2023,Honda,Insight,Gasoline,Electric,52,42,66,24990,55,Sedan
2023,Hyundai,Ioniq Hybrid,Gasoline,Electric,53,41,70,23250,52,Sedan
2023,Kia,Niro Hybrid,Gasoline,Electric,52,41,69,25290,52,SUV
2023,Toyota,RAV4 Hybrid,Gasoline,Electric,40,37,68,27250,420,SUV
2023,Honda,CR-V Hybrid,Gasoline,Electric,40,36,69,26290,407,SUV
2023,Hyundai,Tucson Hybrid,Gasoline,Electric,40,35,66,26250,420,SUV
2023,Kia,Sorento Hybrid,Gasoline,Electric,39,34,66,28790,390,SUV
2023,Toyota,Highlander Hybrid,Gasoline,Electric,36,31,69,39625,600,SUV
2023,Ford,Escape Hybrid,Gasoline,Electric,42,25,70,29995,418,SUV
2023,Toyota,RAV4 Hybrid,Gasoline,Electric,41,25,71,27250,420,SUV
2023,Honda,CR-V Hybrid,Gasoline,Electric,40,25,71,26290,407,SUV
2023,Hyundai,Tucson Hybrid,Gasoline,Electric,40,25,68,26250,420,SUV
2023,Kia,Sorento Hybrid,Gasoline,Electric,39,25,68,28790,390,SUV
2023,Chevrolet,Equinox Hybrid,Gasoline,Electric,39,25,68,24995,440,SUV
2023,Mazda,CX-5 Hybrid,Gasoline,Electric,37,25,69,25700,370,SUV
2023,Subaru,Forester Hybrid,Gasoline,Electric,37,25,69,33945,370,SUV
2023,Mitsubishi,Outlander PHEV,Gasoline,Electric,39,41,70,38095,240,SUV
2023,Chevrolet,Camaro,E85,No,31,30,72,29495,240,Coupe
2023,Ford,Mustang Mach-E,E85,No,30,32,71,45995,270,SUV
2023,Chevrolet,Silverado 1500,E85,No,18,29,70,35200,640,Pick-up
2023,GMC,Sierra 1500,E85,No,18,29,70,35800,640,Pick-up
2023,Audi,A4,Gasoline,No,24,192,67,39900,248,Sedan
2023,BMW,3 Series,Gasoline,No,22,195,65,41450,255,Sedan
2023,Mercedes-Benz,C-Class,Gasoline,No,23,191,68,43250,255,Sedan
2023,Lexus,IS,Gasoline,No,22,196,69,39030,248,Sedan
2023,Acura,TLX,Gasoline,No,22,195,68,37200,248,Sedan
2023,Infiniti,Q50,Gasoline,No,22,194,68,37400,248,Sedan
2023,Lincoln,Continental,Gasoline,No,19,211,67,57000,326,Sedan
2023,Cadillac,CT4,Gasoline,No,22,194,66,36000,248,Sedan
2023,Genesis,G70,Gasoline,No,22,194,65,39100,248,Sedan
2023,Volkswagen,Taos,Gasoline,No,23,192,68,23000,441,Sedan
2023,Volkswagen,Golf GTI,Gasoline,No,23,195,65,30000,270,Sedan
2023,Volkswagen,Jetta,Gasoline,No,24,191,67,20000,376,Sedan
2023,Volkswagen,ID.4,Electric,No,104,0,66,41190,250,Sedan
2023,Volkswagen,ID.3,Electric,No,118,0,65,40000,260,Sedan
2023,Fiat,500X,Gasoline,No,22,194,70,23000,241,Sedan
2023,Fiat,500,Gasoline,CNG,30,125,72,25000,140,Sedan
2023,Fiat,500L,Gasoline,CNG,30,125,69,26000,140,Sedan
2023,Fiat,500e,Electric,No,103,0,66,32000,140,Sedan
2023,Peugeot,308,Gasoline,No,27,178,69,41000,260,Sedan
2023,Peugeot,508,Gasoline,No,24,192,70,50000,340,Sedan
2023,Peugeot,508 PSE,Gasoline,Electric,30,125,67,60000,249,Sedan
2023,Citroën,C4,Gasoline,No,26,182,68,41000,370,Sedan
2023,Citroën,C5 Aircross,Gasoline,No,24,192,68,50000,400,Sedan
2023,Citroën,C5 Aircross Hybrid,Gasoline,Electric,30,125,65,60000,370,Sedan
2023,Suzuki,Across,Gasoline,Electric,27,178,65,45290,300,Sedan
2023,Suzuki,Grand Vitara,Gasoline,No,24,192,66,30000,300,Sedan
2023,Suzuki,Jimny,Gasoline,No,21,220,69,28290,200,Sedan
