Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
Sedan/Wagon,NSX,2022.0,Acura,Hybrid Electric,Spark Ignition,3.5L
Sedan/Wagon,A3 ,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A3 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A4 allroad quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A4 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A4 S line quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A5 Cabriolet quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A5 Coupe quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A5 Sportback quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A5 Sportback S line quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A6 Allroad quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A7 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,A7 TFSI e quattro,2022.0,Audi,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,A8L quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,e-tron GT,2022.0,Audi,Electric,Electric Motor,175 kW
SUV,e-tron quattro,2022.0,Audi,Electric,Electric Motor,141 kW
SUV,"e-tron S (20"" wheels)",2022.0,Audi,Electric,Electric Motor,138 kW
SUV,"e-tron S (21"" or 22"" wheels)",2022.0,Audi,Electric,Electric Motor,138 kW
SUV,e-tron Sportback quattro,2022.0,Audi,Electric,Electric Motor,141 kW
SUV,"e-tron S Sportback (20"" wheels)",2022.0,Audi,Electric,Electric Motor,138 kW
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022.0,Audi,Electric,Electric Motor,157 kW
SUV,Q4 e-tron quattro,2022.0,Audi,Electric,Electric Motor,80 kW
SUV,Q4 e-tron Sportback quattro,2022.0,Audi,Electric,Electric Motor,80 kW
SUV,Q5 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
SUV,Q5 S line quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
SUV,Q5 Sportback S line quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,Q5 TFSI e quattro,2022.0,Audi,Plug-in Hybrid Electric,Spark Ignition,2.0L
SUV,Q7 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
SUV,Q8 quattro,2022.0,Audi,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,RS 6 Avant,2022.0,Audi,Hybrid Electric,Spark Ignition,4.0L
Sedan/Wagon,RS7,2022.0,Audi,Hybrid Electric,Spark Ignition,4.0L
SUV,RS e-tron GT,2022.0,Audi,Electric,Electric Motor,335 kW
Sedan/Wagon,RS Q8,2022.0,Audi,Hybrid Electric,Spark Ignition,4.0L
Sedan/Wagon,S6,2022.0,Audi,Hybrid Electric,Spark Ignition,2.9L
Sedan/Wagon,S7,2022.0,Audi,Hybrid Electric,Spark Ignition,2.9L
Sedan/Wagon,S8,2022.0,Audi,Hybrid Electric,Spark Ignition,4.0L
Sedan/Wagon,Flying Spur Hybrid,2022.0,Bentley Motors,Plug-in Hybrid Electric,Spark Ignition,2.9L
Sedan/Wagon,330e Sedan,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,330e xDrive,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,530e Sedan,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,530e xDrive Sedan,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,540i Sedan,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,540i xDrive Sedan,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,745e xDrive,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022.0,BMW,Electric,Electric Motor,250 kW
