CodigoCombustible,NombreEstacion,Dirección,Ciudad,Estado,AccesoPublico,Latitud,Longitud,IDEstacion
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,NY,True,40.718037,-73.932309,108
CNG,Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,NY,True,40.64554,-73.918344,112
CNG,Con Edison - W 29th St Service Center,281 11th Ave,New York,NY,True,40.752903,-74.005831,124
CNG,Con Edison - E 16th St Service Center,700 E 16th St,New York,NY,True,40.729175,-73.97331,125
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,NY,True,40.8441883,-73.8615724,129
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,Rye,NY,True,40.979001,-73.693048,130
CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,True,40.769623,-73.843069,132
CNG,Clean Energy - Brentwood - National Grid,1650 Islip Ave,Brentwood,NY,True,40.785664,-73.219818,448
CNG,Clean Energy - Hicksville - National Grid,175 E Old Country Rd,Hicksville,NY,True,40.766799,-73.509603,449
CNG,Clean Energy - Albany - National Grid,1125 Broadway,Menands,NY,True,42.667569,-73.739345,703
CNG,Nassau Inter-County Express,700 Commercial Ave,Garden City,NY,False,40.72954,-73.6075,1252
LPG,Combined Energy Services,276 E Broadway,Monticello,NY,True,41.651953,-74.672938,13401
LPG,Irish Propane,70 Katherine St,Buffalo,NY,True,42.8601082048398,-78.85922572883605,13444
CNG,Clean Energy - Riverhead - National Grid,117 Doctors Path,Riverhead,NY,True,40.940028,-72.652774,18898
CNG,Clean Energy - Hewlett - National Grid,455 Mill Rd,Valley Stream,NY,True,40.648881,-73.707638,18900
CNG,City of Rochester,945 Mt Read Blvd,Rochester,NY,False,43.169231,-77.661407,21435
BD,"NY State Office of Parks, Recreation and Historic Preservation - Planting Fields Arboretum",Planting Fields Rd,Oyster Bay,NY,False,40.860392,-73.552931,28252
BD,John Ray & Sons,2900 6th Ave,Troy,NY,True,42.745934,-73.681895,29571
CNG,City of New York - Flushing Meadows Corona Park,11101 Corona Ave,Flushing,NY,False,40.74099,-73.849958,30834
CNG,New York State Office of Parks - Recreation and Historic Preservation,1410 Buffalo Ave,Niagara Falls,NY,False,43.083477,-79.043775,32785
CNG,Bronx Zoo,2300 Southern Blvd,Bronx,NY,False,40.850018,-73.878128,32837
CNG,Trillium - MTA New York City Transit - West Farms/Coliseum Depot,1100 E 177th St,Bronx,NY,False,40.838672,-73.877566,32838
CNG,Trillium - MTA - Spring Creek,12755 Flatlands Ave,Brooklyn,NY,False,40.661038,-73.864438,32839
CNG,Trillium - MTA New York City Transit - Jackie Gleason Bus Depot,871 5th Ave,Brooklyn,NY,False,40.6529,-74.0023,32840
E85,Sunoco - McBirney's Auto Service,720 N Broadway,Massapequa,NY,True,40.692812,-73.464669,33001
E85,Cumberland Farms #3132,511 Duanesburg Rd,Schenectady,NY,True,42.78657,-73.99777,33025
E85,Joe's Quick Mart - Shell,1 N Broadway,Irvington,NY,True,41.039006,-73.865296,33393
E85,Citgo,1020 Route 109,Lindenhurst,NY,True,40.715264,-73.393473,33404
LPG,Ehrhart Propane & Oil,9787 State Route 96,Trumansburg,NY,True,42.5497889,-76.6744609,33486
CNG,Trillium - MTA - College Point,128-15 28th Ave,Flushing,NY,False,40.773093,-73.839802,33538
E85,New York State Thruway Authority,200 Southern Blvd,Albany,NY,False,42.629724,-73.776371,33847
E85,Joe's Quick Mart - Shell,9 Haines Rd,Bedford Hills,NY,True,41.23846,-73.701367,33849
E85,New York State Thruway Authority - Syracuse Section 6,6150 Tarbell Rd,Syracuse,NY,False,43.090389,-76.094177,33851
E85,New York State Thruway Authority - Newburgh Maintenance,1309 Route 300,Newburgh,NY,False,41.509275,-74.06745,33854
BD,New York State Thruway Authority - Larchmont Section 4,629 5th Ave,Larchmont,NY,False,40.931706,-73.766018,33986
BD,New York State Thruway Authority - Nyack Section 5,201 N Route 303,West Nyack,NY,False,41.101648,-73.952196,33989
E85,BP,67 Croton Point Ave,Croton-on-Hudson,NY,True,41.194311,-73.880944,34216
CNG,Manhattan Beer,955 E 149th St,Bronx,NY,False,40.808151,-73.902589,35060
CNG,Long Beach Public Schools,659 Lido Blvd,Point Lookout,NY,False,40.59081575559057,-73.61398058095091,35062
CNG,Manhattan Beer,401 Acorn St,Wyandanch,NY,False,40.755225,-73.357445,35063
CNG,American Natural Gas - National Fuel - Buffalo,365 Mineral Springs Rd,Buffalo,NY,True,42.861455,-78.800352,35317
CNG,Clean Energy - Town of Brookhaven,350 Horseblock Rd,Yaphank,NY,True,40.800178,-72.921177,35318
E85,Sunoco,4123 Middle Country Rd,Calverton,NY,True,40.927328,-72.764756,35430
E85,BP,102 Lake Rd,Congers,NY,True,41.146978,-73.933908,35431
E85,Shell - Water Mill Fuel Complex,960 Montauk Hwy,Water Mill,NY,True,40.915415,-72.348133,35432
ELEC,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,False,42.702424,-73.857693,35562
E85,Sunergy,1000 Hicksville Rd,Massapequa,NY,True,40.691422,-73.477561,35579
E85,Eddie's Service Center - Citgo,753 E Main St,Kings Park,NY,True,40.882367,-73.220888,35614
E85,Village Mobil,88 Wolf Rd,Albany,NY,True,42.715671,-73.81201,35822
E85,Gasoline Heaven - Gulf,2088 Jericho Turnpike,Commack,NY,True,40.844044,-73.277126,35824
E85,Glenmont Mobil,415 Route 9W,Glenmont,NY,True,42.601571,-73.792571,35825
E85,Richie's Citgo,1153 Walt Whitman Rd,Melville,NY,True,40.791371,-73.41706,35828
E85,Banahan Brothers,310 Theodore Fremd Ave,Rye,NY,True,40.977334,-73.695826,35832
E85,Southfields Valero,1011 Route 17 S,Southfields,NY,True,41.248483,-74.172356,35835
E85,Wave,270 W Main St,Patchogue,NY,True,40.76473,-73.022956,35921
E85,Bob's Tire and Auto Service,2039 Jericho Turnpike,Commack,NY,True,40.845379,-73.273087,35983
E85,Conoco,171 Sunrise Hwy,Rockville Centre,NY,True,40.657774,-73.649095,35985
E85,Citgo,557 Route 25A,Rocky Point,NY,True,40.946992,-72.929752,35986
