Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Manufacturer,Category,Fuel,Fuel Configuration Name,Electric-Only Range
13002,41,377,29,e-tron quattro,2022,78.0,77.0,78.0,,,78.0,e-motor,141 kW,Audi,SUV,Electric,,222.0
12950,41,377,29,"e-tron S (20"" wheels)",2022,72.0,75.0,73.0,,,73.0,e-motor,138 kW,Audi,SUV,Electric,,208.0
12951,41,377,29,"e-tron S (21"" or 22"" wheels)",2022,62.0,64.0,63.0,,,63.0,e-motor,138 kW,Audi,SUV,Electric,,181.0
13001,41,377,29,e-tron Sportback quattro,2022,76.0,78.0,77.0,,,77.0,e-motor,141 kW,Audi,SUV,Electric,,218.0
12952,41,377,29,"e-tron S Sportback (20"" wheels)",2022,73.0,78.0,75.0,,,75.0,e-motor,138 kW,Audi,SUV,Electric,,212.0
12953,41,377,29,"e-tron S Sportback (21"" or 22"" wheels)",2022,64.0,66.0,65.0,,,65.0,e-motor,157 kW,Audi,SUV,Electric,,185.0
12954,41,377,29,Q4 e-tron quattro,2022,100.0,89.0,95.0,,,95.0,e-motor,80 kW,Audi,SUV,Electric,,241.0
12955,41,377,29,Q4 e-tron Sportback quattro,2022,100.0,89.0,95.0,,,95.0,e-motor,80 kW,Audi,SUV,Electric,,241.0
13023,45,377,29,Q5 quattro,2022,,,,23.0,28.0,25.5,SI,2.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12795,45,377,29,Q5 S line quattro,2022,,,,23.0,28.0,25.5,SI,2.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12796,45,377,29,Q5 Sportback S line quattro,2022,,,,23.0,28.0,25.5,SI,2.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12797,45,377,29,Q7 quattro,2022,,,,18.0,23.0,20.5,SI,3.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12798,45,377,29,Q8 quattro,2022,,,,18.0,23.0,20.5,SI,3.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12956,41,377,29,RS e-tron GT,2022,100.0,89.0,95.0,,,95.0,e-motor,335 kW,Audi,SUV,Electric,,241.0
13050,41,211,29,"iX xDrive50 (20"" Wheels) ",2022,86.0,87.0,86.0,,,86.0,e-motor,190 and 230 kW,BMW,SUV,Electric,Dedicated,324.0
13051,41,211,29,"iX xDrive50 (21"" Wheels) ",2022,82.0,84.0,83.0,,,83.0,e-motor,190 and 230 kW,BMW,SUV,Electric,Dedicated,305.0
13052,41,211,29,"iX xDrive50 (22"" Wheels) ",2022,86.0,85.0,86.0,,,86.0,e-motor,190 and 230 kW,BMW,SUV,Electric,Dedicated,315.0
12860,45,211,29,X3 M40i,2022,,,,21.0,26.0,23.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12861,45,211,29,X4 M40i,2022,,,,21.0,26.0,23.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12862,45,211,29,X5 sDrive40i,2022,,,,21.0,26.0,23.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12863,45,211,29,X5 xDrive40i,2022,,,,21.0,25.0,23.0,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
13072,57,211,29,X5 xDrive45e,2022,,,50.0,19.0,22.0,50.0,SI,3.0L,BMW,SUV,Plug-in Hybrid Electric,Hybrid Electric,31.0
12864,45,211,29,X6 xDrive40i,2022,,,,21.0,25.0,23.0,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12865,45,211,29,X7 xDrive40i,2022,,,,19.0,24.0,21.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12907,35,231,29,Escalade 2WD,2022,,,,21.0,27.0,24.0,CI,3.0L,Cadillac,SUV,Biodiesel (B20),Dedicated,
12908,35,231,29,Escalade 4WD,2022,,,,20.0,26.0,23.0,CI,3.0L,Cadillac,SUV,Biodiesel (B20),Dedicated,
12911,35,215,29,Suburban 2WD,2022,,,,21.0,27.0,24.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12912,35,215,29,Suburban 4WD,2022,,,,20.0,26.0,23.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12913,35,215,29,Tahoe 2WD,2022,,,,21.0,28.0,24.5,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12914,35,215,29,Tahoe 4WD,2022,,,,20.0,26.0,23.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
13037,57,219,29,Escape FWD PHEV,2022,,,105.0,43.0,38.0,105.0,SI,2.5L,Ford,SUV,Plug-in Hybrid Electric,Hybrid Electric,37.0
12976,11,219,29,Explorer AWD FFV,2022,11.0,15.0,13.0,16.0,24.0,13.0,SI,3.3L,Ford,SUV,Ethanol (E85),Flexible Fuel,
12980,45,219,29,Explorer HEV AWD,2022,,,,23.0,26.0,24.5,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
12978,45,219,29,Explorer HEV RWD,2022,,,,27.0,28.0,27.5,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
13024,45,219,29,Explorer Platinum HEV ,2022,,,,23.0,24.0,23.5,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
12979,45,219,29,Explorer Platinum HEV ,2022,,,,25.0,25.0,25.0,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
13059,41,219,29,Mustang Mach-E AWD,2022,98.0,86.0,93.0,,,93.0,e-motor,198 kW,Ford,SUV,Electric,Dedicated,224.0
13056,41,219,29,Mustang Mach-E AWD California Route 1,2022,105.0,91.0,98.0,,,98.0,e-motor,258 kW,Ford,SUV,Electric,Dedicated,312.0
