Año,Fabricante,Modelo,ClaseVehículo,TipoCombustible,EficienciaConv,EficienciaAlt,CO2(g/pm),HibridoEnchufable,RangoAutonomia,CostoCombustible
2017,BMW,M6 Coupe,Subcompact Cars,Premium Gasoline,17.0,0.0,519.0,False,0.0,3850.0
2017,BMW,X3 sDrive28i,Small Sport Utility Vehicle 2WD,Premium Gasoline,24.0,0.0,374.0,False,0.0,2700.0
2017,MINI,John Cooper Works Convertible,Minicompact Cars,Premium Gasoline,27.0,0.0,327.0,False,0.0,2400.0
2017,Kia,Sedona SX,Minivan - 2WD,Regular Gasoline,21.0,0.0,433.0,False,0.0,2550.0
2017,Kia,Sedona SXL,Minivan - 2WD,Regular Gasoline,19.0,0.0,476.0,False,0.0,2800.0
2017,Ford,Escape FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,25.0,0.0,357.0,False,0.0,2100.0
2017,Lincoln,MKC AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,404.0,False,0.0,2400.0
2017,BMW,650i xDrive Convertible,Subcompact Cars,Premium Gasoline,18.0,0.0,486.0,False,0.0,3650.0
2017,Maserati,GranTurismo,Subcompact Cars,Premium Gasoline,16.0,0.0,572.0,False,0.0,4100.0
2017,Ford,Fusion FWD,Midsize Cars,Regular Gasoline,27.0,0.0,328.0,False,0.0,1950.0
2017,Kia,Sorento FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,23.0,0.0,397.0,False,0.0,2300.0
2017,Kia,Sorento AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,414.0,False,0.0,2400.0
2017,GMC,Acadia FWD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,23.0,0.0,386.0,False,0.0,2300.0
2017,Kia,Rio,Compact Cars,Regular Gasoline,31.0,0.0,287.0,False,0.0,1700.0
2017,Porsche,Cayenne S,Standard Sport Utility Vehicle 4WD,Premium Gasoline,20.0,0.0,452.0,False,0.0,3250.0
2017,Subaru,Legacy AWD,Midsize Cars,Regular Gasoline,23.0,0.0,387.0,False,0.0,2300.0
2017,Hyundai,Sonata,Large Cars,Regular Gasoline,29.0,0.0,307.0,False,0.0,1850.0
2017,Subaru,Forester AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,28.0,0.0,315.0,False,0.0,1900.0
2017,Porsche,911 Carrera Cabriolet,Minicompact Cars,Premium Gasoline,24.0,0.0,365.0,False,0.0,2700.0
2017,Mercedes-Benz,C300 Coupe,Subcompact Cars,Premium Gasoline,26.0,0.0,347.0,False,0.0,2500.0
2017,Lamborghini,Huracan Spyder,Two Seaters,Premium Gasoline,16.0,0.0,547.0,False,0.0,4100.0
2017,Toyota,86,Minicompact Cars,Premium Gasoline,24.0,0.0,373.0,False,0.0,2700.0
2017,Rolls-Royce,Phantom Coupe,Compact Cars,Premium Gasoline,14.0,0.0,638.0,False,0.0,4650.0
2017,Jaguar,XF,Midsize Cars,Premium Gasoline,23.0,0.0,377.0,False,0.0,2850.0
2017,Chevrolet,Equinox FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,25.0,17.0,355.0,False,0.0,2100.0
2017,Chevrolet,Traverse AWD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,17.0,0.0,518.0,False,0.0,3100.0
2017,Lincoln,Navigator L 4WD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,16.0,0.0,546.0,False,0.0,3300.0
2017,Genesis,G90 RWD,Large Cars,Premium Gasoline,19.0,0.0,482.0,False,0.0,3450.0
2017,Kia,K900,Large Cars,Regular Gasoline,20.0,0.0,448.0,False,0.0,2650.0
2017,Hyundai,Tucson FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,26.0,0.0,342.0,False,0.0,2050.0
2017,Nissan,GT-R,Subcompact Cars,Premium Gasoline,18.0,0.0,484.0,False,0.0,3650.0
2017,Volvo,S60 AWD,Compact Cars,Regular Gasoline,26.0,0.0,343.0,False,0.0,2050.0
2017,Kia,Forte,Midsize Cars,Regular Gasoline,32.0,0.0,301.0,False,0.0,1650.0
2017,Volvo,XC60 AWD,Small Sport Utility Vehicle 4WD,Premium Gasoline,22.0,0.0,395.0,False,0.0,2950.0
2017,Ford,Mustang,Subcompact Cars,Regular Gasoline,24.0,0.0,370.0,False,0.0,2200.0
2017,Ford,Mustang,Subcompact Cars,Regular Gasoline,21.0,0.0,428.0,False,0.0,2550.0
2017,Ford,Mustang Performance Package,Subcompact Cars,Regular Gasoline,24.0,0.0,370.0,False,0.0,2200.0
2017,Ford,Mustang Convertible,Subcompact Cars,Regular Gasoline,23.0,0.0,386.0,False,0.0,2300.0
2017,Cadillac,XTS AWD,Large Cars,Regular Gasoline,20.0,0.0,439.0,False,0.0,2650.0
2017,Acura,MDX AWD,Small Sport Utility Vehicle 4WD,Premium Gasoline,22.0,0.0,404.0,False,0.0,2950.0
2017,Ford,Explorer FWD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,20.0,0.0,452.0,False,0.0,2650.0
2017,Ford,Explorer AWD FFV,Standard Sport Utility Vehicle 4WD,Regular Gasoline,19.0,14.0,475.0,False,0.0,2800.0
2017,Porsche,Cayenne Turbo S,Standard Sport Utility Vehicle 4WD,Premium Gasoline,17.0,0.0,536.0,False,0.0,3850.0
